         2717892 function calls (2667351 primitive calls) in 12.839 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1513    0.011    0.000    1.034    0.001 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/util/tf_export.py:365(kwarg_only)
      175    0.002    0.000    1.021    0.006 <frozen importlib._bootstrap_external>:1231(create_module)
      175    1.009    0.006    1.018    0.006 {built-in method _imp.create_dynamic}
     2898    0.035    0.000    0.939    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
     3141    0.014    0.000    0.938    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
3142/3141    0.043    0.000    0.925    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.001    0.001    0.923    0.923 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:1(<module>)
     4204    0.044    0.000    0.914    0.000 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/util/tf_decorator.py:308(__init__)
     2898    0.889    0.000    0.889    0.000 {built-in method marshal.loads}
      769    0.003    0.000    0.864    0.001 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/util/dispatch.py:1184(add_dispatch_support)
      769    0.012    0.000    0.861    0.001 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/util/dispatch.py:1235(decorator)
     3062    0.025    0.000    0.856    0.000 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/util/tf_inspect.py:265(getfullargspec)
    54207    0.396    0.000    0.841    0.000 /home/mgama1/anaconda3/lib/python3.11/inspect.py:2686(__init__)
     3069    0.162    0.000    0.814    0.000 /home/mgama1/anaconda3/lib/python3.11/inspect.py:1336(getfullargspec)
     3538    0.163    0.000    0.797    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.766    0.766 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/ragged/ragged_image_ops.py:1(<module>)
        1    0.000    0.000    0.762    0.762 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/image_ops.py:1(<module>)
        1    0.001    0.001    0.697    0.697 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/image_ops_impl.py:1(<module>)
        1    0.000    0.000    0.690    0.690 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/pywrap_tensorflow.py:1(<module>)
        1    0.000    0.000    0.686    0.686 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/platform/self_check.py:31(preload_check)
        1    0.003    0.003    0.684    0.684 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/array_ops.py:1(<module>)
        1    0.000    0.000    0.580    0.580 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/keras/engine/functional.py:1(<module>)
